Real GDP,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
510735.5,1.53239929947449,-7551800000.0,98.8,9.7,2.99,-3.9,65.93425,-13.5,119.75,103.7
,,-6614300000.0,98.75,9.7,2.75,-7.6,62.71988,-11.3,110.34,101.6
,,-7916400000.0,98.78,9.7,2.57,-9.4,61.78586,-12.2,95.16,101.5
512292.7,2.58431887866841,-6189400000.0,98.35,9.7,2.28,-11.3,64.64759,-15.7,102.62,102.3
,,-7549700000.0,99.0,9.7,2.12,-12.1,68.86667,-16.0,113.36,103.5
,,-5998600000.0,98.76,9.8,2.24,-13.8,70.23611,-18.9,112.86,102.0
512255.3,1.95822454308092,-6333400000.0,98.94,10.1,2.19,-12.6,69.35961,-19.3,111.71,100.4
,,-5558500000.0,98.79,10.2,2.14,-14.5,69.86761,-18.3,109.06,100.5
,,-6699100000.0,99.1,10.3,2.01,-13.2,73.21638,-18.0,109.49,101.7
513196.4,1.15830115830122,-7008300000.0,98.6,10.4,2.17,-11.4,75.24918,-19.2,112.96,101.1
,,-7470500000.0,98.88,10.4,2.24,-12.7,74.80703,-18.9,116.05,102.6
,,-4853500000.0,99.63,10.4,2.07,-14.1,76.82344,-19.9,108.47,102.8
517699.8,2.06985769728334,-5829800000.0,99.48,10.5,1.8,-14.6,75.66122,-19.3,102.25,104.1
,,-7086700000.0,99.54,10.4,1.87,-13.9,80.00636,-22.2,102.56,103.8
,,-5997400000.0,99.7,10.4,2.21,-12.5,76.86725,-22.0,102.92,102.2
516487.1,1.92143467122128,-6881000000.0,99.4,10.3,2.25,-12.9,78.66272,-19.3,107.93,101.5
,,-6002700000.0,99.86,10.1,2.36,-13.4,82.09077,-16.4,111.28,100.5
,,-6872300000.0,99.63,10.3,2.49,-9.3,83.63224,-15.1,111.6,101.6
519684.8,2.13401621852336,-6012000000.0,99.5,10.1,2.39,-9.1,85.8204,-14.8,109.08,101.4
,,-6624500000.0,99.46,10.2,2.27,-7.5,87.05868,-18.1,107.79,102.9
,,-7072500000.0,99.8,10.2,2.33,-10.8,85.14575,-16.6,110.76,101.9
519665.5,1.78117048346051,-7224500000.0,99.24,10.2,2.38,-9.0,87.08395,-16.0,108.12,100.4
,,-4960400000.0,99.79,10.2,2.25,-8.7,88.27788,-16.1,108.9,102.3
,,-5669300000.0,100.24,10.2,2.15,-7.3,89.46375,-15.2,107.48,101.6
520928.9,1.56316011829325,-5619900000.0,100.2,10.1,2.03,-5.4,91.35033,-16.1,107.76,101.6
,,-5731500000.0,100.22,10.1,1.84,-5.6,92.26177,-16.8,109.54,100.0
,,-6598400000.0,100.18,10.2,1.71,-7.5,93.13263,-18.0,111.8,101.5
524278.0,1.50816925010471,-7767200000.0,99.86,10.2,1.56,-7.5,89.99406,-16.4,106.77,102.5
,,-6453600000.0,100.3,10.2,1.41,-8.1,87.4003,-16.5,101.61,100.8
,,-5870100000.0,99.92,10.3,1.35,-8.4,90.66413,-17.6,97.09,101.9
522848.6,1.83869619724195,-5503900000.0,99.95,10.4,1.26,-7.0,84.61759,-17.0,87.43,100.3
,,-4241400000.0,99.78,10.5,1.14,-6.9,87.58737,-16.2,79.44,98.8
,,-5049100000.0,99.86,10.5,0.92,-8.0,88.08463,-14.2,62.34,102.4
525881.8,2.54166666666673,-4358100000.0,98.86,10.4,0.67,-9.0,90.7668,-13.6,47.76,102.0
,,-4196900000.000001,99.52,10.3,0.6,-8.7,98.72089,-11.2,58.1,103.0
,,-5710100000.0,100.17,10.4,0.51,-8.3,103.4775,-10.8,55.89,102.9
526219.3,3.99334442595647,-4109200000.000001,100.28,10.4,0.44,-6.8,106.7376,-10.0,59.52,101.8
,,-5620400000.0,100.52,10.5,0.89,-4.9,104.8846,-12.0,64.08,102.5
,,-3589100000.0,100.44,10.4,1.2,-4.8,102.2,-11.9,61.48,102.8
527576.5,4.41601320676799,-5229700000.0,100.03,10.3,1.11,-4.5,102.6293,-12.9,56.56,101.9
,,-3574200000.0,100.35,10.3,1.01,-2.5,101.0319,-11.1,46.52,102.8
,,-5042000000.0,99.95,10.3,1.0,-2.7,93.75701,-10.2,47.62,103.9
528884.1,3.52892901107915,-5947300000.0,100.01,10.3,0.87,0.9,97.39767,-9.9,48.43,103.9
