Date,Real GDP growth,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
2017-09-01,,,-1329400000.0,100.8816,21.2,5.56,12.3,105.5905,-52.1,56.15,89.5
2017-10-01,46131.2,-0.310409131190501,-1620900000.0,100.9835,21.1,5.59,12.0,101.2006,-49.0,57.51,92.1
2017-11-01,,,-1329300000.0,100.2356,21.4,5.22,10.4,98.97662,-50.6,62.71,91.2
2017-12-01,,,-1574000000.0,100.7624,21.3,4.44,9.3,103.9313,-48.7,64.37,92.6
2018-01-01,46827.6,0.91345464187781,-1679100000.0,99.10498,20.8,3.79,10.7,114.7688,-50.5,69.08,92.5
2018-02-01,,,-1528000000.0,99.05471,21.1,4.14,15.2,113.9068,-49.7,65.32,92.3
2018-03-01,,,-1496800000.0,100.5342,20.7,4.27,12.9,108.7643,-51.0,66.02,93.2
2018-04-01,46915.9,2.47071752082844,-1753700000.0,101.4515,20.2,4.04,21.2,110.7316,-49.2,72.11,91.8
2018-05-01,,,-1450400000.0,101.1223,19.6,4.29,20.7,107.6888,-47.6,76.98,93.4
2018-06-01,,,-2100200000.0,102.1206,19.5,4.39,20.9,104.0839,-48.2,74.41,93.1
2018-07-01,47044.3,2.4260117353542,-1695800000.0,100.301,19.4,3.88,12.6,101.9924,-45.2,74.25,93.2
2018-08-01,,,-1856800000.0,99.97002,19.3,4.18,9.2,99.35224,-47.6,72.53,93.7
2018-09-01,,,-1967500000.0,101.9816,19.3,4.17,10.6,93.8166,-45.9,78.89,92.8
2018-10-01,47333.3,-0.309763799818544,-1863700000.0,102.7695,19.1,4.37,11.4,86.70149,-31.4,81.03,92.4
2018-11-01,,,-1473700000.0,101.2247,19.1,4.42,11.2,83.85058,-33.2,64.75,96.3
2018-12-01,,,-1776400000.0,101.3299,19.0,4.28,10.1,85.10579,-30.2,57.36,94.6
2019-01-01,47876.1,-0.181045735455057,-2029200000.0,99.54,19.5,4.21,2.9,84.52209,-30.2,59.41,95.6
2019-02-01,,,-1539000000.0,99.6691,19.2,3.84,7.5,89.90505,-35.0,63.96,94.0
2019-03-01,,,-1971100000.0,101.4823,18.5,3.76,12.6,96.04194,-33.3,66.14,92.5
2019-04-01,48321.1,-0.660355726652213,-1713700000.0,102.4866,18.5,3.42,10.6,103.3246,-33.5,71.23,94.3
2019-05-01,,,-2121600000.0,101.3521,17.5,3.37,10.7,101.814,-30.7,71.32,93.1
2019-06-01,,,-1761200000.0,101.8369,17.4,2.67,11.8,113.7041,-28.6,64.22,92.6
2019-07-01,48077.1,1.37166282071111,-1801700000.0,100.3478,17.9,2.16,22.2,118.1588,-18.1,63.92,90.8
2019-08-01,,,-1907200000.0,99.79972,17.3,1.98,27.6,113.2393,-7.2,59.04,93.6
2019-09-01,,,-1889100000.0,101.9057,17.4,1.5,17.6,116.6901,-6.5,62.83,94.2
2019-10-01,48024.8,2.92859309505652,-1916400000.0,102.038,17.3,1.34,14.4,115.6281,-3.1,59.71,91.6
2019-11-01,,,-1705900000.0,101.4502,17.0,1.36,16.6,119.2127,-5.6,63.21,87.0
